name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,liked
Ain't It Fun,Paramore,0.61,0.893,9,-3.681,1,0.0921,0.154,4.41e-05,0.021,0.673,104.031,296520,4,1
I m So High,Capo,0.627,0.574,1,-10.509,1,0.0752,0.0661,0.0,0.39,0.209,125.138,154619,4,1
Hood Vamp,Sickboyrari,0.767,0.491,1,-7.825,0,0.117,0.0315,3.4e-05,0.153,0.137,139.945,265265,4,1
Now They Know Us/Vivienne Soulja 3,Devstacks,0.265,0.741,1,-4.853,1,0.0395,0.00335,0.00838,0.467,0.181,143.89,213394,4,1
I'M DONE,Muddyoush,0.552,0.795,1,-4.617,1,0.17,0.159,0.0117,0.146,0.484,174.013,154500,4,1
casse-croute,Yuri Online,0.611,0.545,8,-7.401,1,0.13,0.126,0.0,0.178,0.867,106.804,201706,4,1
Evisu Bape,Hi-C,0.408,0.589,6,-9.488,1,0.0642,0.0339,0.0,0.0843,0.41,139.734,191067,4,1
Just Wanna Rock,Lil Uzi Vert,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,123891,4,1
The Kingdom,Thaiboy Digital,0.753,0.809,2,-3.864,1,0.151,0.0607,7.01e-05,0.353,0.826,154.097,124680,4,1
egobaby,Bladee,0.527,0.696,2,-6.239,1,0.125,0.19,0.000146,0.191,0.0995,149.918,138907,4,1
Petty,Chief Keef,0.78,0.583,3,-8.659,1,0.0444,0.0476,0.0,0.0722,0.575,122.031,154029,4,1
Differences,Ginuwine,0.562,0.594,3,-4.578,0,0.0558,0.318,0.0,0.311,0.423,62.876,265533,4,1
heartless,DJ Kuroneko,0.585,0.971,1,-7.123,0,0.36,0.0842,0.588,0.322,0.2,100.024,182794,4,1
elinor,crystalclub,0.641,0.739,11,-8.479,0,0.0775,0.0281,0.313,0.156,0.314,164.95,164367,4,1
Gurl,Dirty Bird,0.749,0.417,4,-13.788,1,0.0455,0.137,0.876,0.112,0.44,114.993,254609,4,1
Hide n Seek,Chase T.,0.674,0.566,1,-14.922,1,0.0503,0.000244,0.509,0.0763,0.42,130.015,374077,4,1
How Fast,Skippa Da Flippa,0.789,0.441,1,-15.037,1,0.54,0.0194,0.0,0.338,0.689,133.053,208534,3,1
##RR##EFG,KANKAN,0.676,0.468,1,-12.155,1,0.225,0.00175,0.301,0.125,0.153,137.075,140986,5,1
Dans Les Way (feat. PSO Thug),DJ Titai,0.957,0.558,5,-6.278,0,0.297,0.37,1.87e-06,0.115,0.354,128.065,162539,4,1
Fill Me In,Craig David,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,257200,4,1
Just In Case,BabyTron,0.805,0.535,5,-11.911,0,0.294,0.00778,0.0,0.475,0.393,101.939,149159,4,1
NO HOOK 2,1PLIKÉ140,0.843,0.441,10,-10.828,0,0.379,0.159,9e-06,0.104,0.645,145.712,158675,4,1
Been knew that,Izaya Tiji,0.766,0.367,5,-13.447,0,0.282,0.168,5.2e-06,0.163,0.208,130.269,179200,4,1
No Sense,Lil Yen,0.693,0.468,1,-9.125,0,0.111,0.00348,1.24e-06,0.197,0.369,140.14,123429,4,1
Body,Redda,0.744,0.816,7,-3.408,1,0.247,0.103,0.0,0.093,0.468,142.138,94694,4,1
No Lie,Kiryano,0.687,0.598,6,-7.286,1,0.235,0.0965,2.69e-06,0.53,0.709,143.311,153422,4,1
Swing Ya Pole,Summrs,0.682,0.521,5,-6.464,1,0.0436,0.00577,0.0,0.14,0.106,143.992,150278,4,1
MTG Puxo seu cabelinho,DJ GUIZIN DA SERRA,0.644,0.614,4,-9.084,0,0.165,0.185,0.293,0.85,0.572,81.486,135317,5,1
Hi C Flow,katai,0.264,0.7,6,-6.809,1,0.0473,0.551,6.44e-06,0.112,0.235,83.511,146283,4,1
6AM,SURF GANG,0.569,0.75,8,-10.566,1,0.119,0.0548,0.00657,0.365,0.48,141.104,119149,4,1
Les meilleurs,Booba,0.88,0.574,8,-4.374,1,0.187,0.171,0.0,0.194,0.244,122.976,273893,4,1
Balti,Gradur,0.833,0.867,9,-4.598,1,0.215,0.314,0.0,0.345,0.683,122.043,237080,4,1
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,0.587,0.698,1,-8.948,1,0.0943,0.0152,0.0,0.442,0.0985,133.954,310720,4,1
My Chakras Are Fast and Hype,Drainpuppet,0.481,0.969,0,-4.046,1,0.12,0.0227,0.833,0.0713,0.721,179.946,175184,4,1
Mode Avion,8ruki,0.774,0.459,8,-12.496,1,0.118,0.633,0.000353,0.103,0.484,144.067,133333,4,1
We Need A Resolution (feat. Timbaland),Aaliyah,0.728,0.512,11,-9.199,0,0.29,0.3,0.0,0.113,0.824,147.17,242827,4,1
P.Y.T. (Pretty Young Thing),Michael Jackson,0.894,0.67,11,-9.406,0,0.0474,0.172,0.000363,0.0691,0.961,127.209,239027,4,1
All I Kno,10kdunkin,0.614,0.646,5,-7.155,0,0.0596,0.204,0.00663,0.233,0.804,136.89,167602,4,1
U Don't Have to Call,Usher,0.793,0.568,1,-4.958,1,0.0459,0.0478,3.57e-05,0.0304,0.806,100.005,269400,4,1
Save Room For Us,Tinashe,0.758,0.671,6,-4.768,0,0.0752,0.481,3.78e-05,0.313,0.416,112.052,164718,4,1
In the Field Like the War,Sickboyrari,0.692,0.82,8,-4.992,1,0.0586,0.263,0.0359,0.107,0.44,129.953,160331,4,1
Storm,Diego Money,0.738,0.376,1,-11.191,0,0.0958,0.0716,0.0,0.0862,0.719,129.961,161881,4,1
Nina!,Autumn!,0.513,0.679,11,-8.768,1,0.148,0.0696,0.0,0.373,0.703,77.581,86439,4,1
touchdown,crystalclub,0.741,0.577,5,-10.351,0,0.0394,0.28,0.00239,0.327,0.426,114.0,250066,4,1
Crazy Love,MJ Cole,0.885,0.629,9,-8.05,0,0.059,0.206,2.97e-06,0.121,0.752,131.977,279587,4,1
Be Your Girl (Kaytranada Edition),Teedra Moses,0.864,0.682,6,-6.73,0,0.386,0.208,5.27e-06,0.1,0.268,115.012,268087,4,1
How U Bomin,Akachi,0.432,0.754,5,-4.863,0,0.243,0.0659,0.0,0.119,0.25,146.81,121853,4,1
God,iayze,0.354,0.519,8,-9.697,1,0.214,0.718,4.4e-06,0.143,0.322,92.635,118183,3,1
Avant la douane,Jul,0.844,0.651,0,-9.162,0,0.23,0.673,7.08e-05,0.174,0.795,138.038,186593,4,1
Hell Shell,Young Nudy,0.853,0.514,0,-5.445,0,0.246,0.000909,0.0222,0.185,0.679,129.963,162527,4,1
EA (feat. 21 Savage),Young Nudy,0.451,0.876,10,-5.205,0,0.414,0.261,0.0,0.098,0.227,87.306,227176,5,1
Blue Cheese Salad,Young Nudy,0.79,0.745,1,-6.442,0,0.291,0.01,0.000923,0.422,0.728,145.025,214387,4,1
Western Union,Ecco2k,0.705,0.659,9,-7.808,1,0.1,0.727,0.0727,0.148,0.584,147.963,120000,4,1
Dumpster Baby,Bladee,0.627,0.493,6,-10.804,1,0.0379,0.852,0.000156,0.132,0.222,129.888,160107,3,1
Waster,Bladee,0.58,0.659,4,-9.858,0,0.0369,0.0657,1.62e-06,0.164,0.276,141.906,121690,4,1
Drama,Bladee,0.725,0.659,8,-5.45,1,0.146,0.0908,0.0,0.124,0.637,74.95,120754,4,1
